Date,Close/Last,Volume,Open,High,Low
11/18/2019,121.79,2806173,121.40,121.795,121.05
11/15/2019,121.37,2268382,121.73,121.8374,121.10
11/14/2019,121.15,1979897,120.72,121.34,120.5535
11/13/2019,120.63,2494867,120.70,120.92,120.32
11/12/2019,121.01,2194507,121.18,121.63,120.76
11/11/2019,121.09,1862828,120.80,121.1255,120.65
11/08/2019,121.34,2074719,121.50,121.54,120.86
11/07/2019,121.29,3833565,122.29,122.429,121.15
11/06/2019,122.02,3611577,122.03,122.05,121.46
11/05/2019,121.89,2154532,121.82,122.155,121.40
11/04/2019,121.71,4765942,122.01,122.17,121.50
11/01/2019,121.65,3214889,121.47,121.6933,121.20
10/31/2019,120.85,3126995,121.49,121.65,120.29
10/30/2019,121.50,2902071,120.68,121.51,120.18
10/29/2019,120.75,2306907,121.46,121.53,120.71
10/28/2019,121.44,2057940,121.37,121.75,121.19
10/25/2019,121.06,2737404,119.72,121.44,119.44
10/24/2019,121.20,2203784,121.48,121.59,120.86
10/23/2019,121.26,1887637,121.68,121.68,120.3553
10/22/2019,121.82,2747944,122.47,122.50,121.77
10/21/2019,122.60,2410230,122.79,123.15,122.26
10/18/2019,122.17,2061372,122.10,122.57,121.67
10/17/2019,122.41,2307071,122.74,122.91,122.18
10/16/2019,122.09,3072809,121.62,122.2063,121.57
10/15/2019,121.59,2556820,120.92,121.87,120.84
10/14/2019,120.53,1575535,120.46,120.77,120.21
10/11/2019,120.59,5315850,120.47,121.64,120.45
10/10/2019,119.24,3274375,118.56,119.65,118.48
10/09/2019,118.45,3048708,118.28,118.87,117.93
10/08/2019,117.45,2944897,117.80,118.74,117.43
10/07/2019,118.70,2760797,118.89,119.46,118.38
10/04/2019,119.22,3189184,118.39,119.30,118.245
10/03/2019,118.11,7231831,117.39,118.12,115.96
10/02/2019,117.54,5504988,119.00,119.00,116.95
10/01/2019,119.69,3636896,120.98,121.43,119.65
09/30/2019,120.70,2494186,119.92,120.86,119.87
09/27/2019,119.67,3557054,120.48,120.55,119.03
09/26/2019,120.09,3020459,120.60,120.89,119.5428
09/25/2019,120.61,3256470,120.00,120.79,119.06
09/24/2019,119.52,5363060,121.43,121.78,119.24
09/23/2019,120.81,2237796,120.07,121.16,119.91
09/20/2019,120.39,3815158,122.02,122.33,120.38
09/19/2019,122.19,2268844,122.78,122.93,122.14
09/18/2019,122.52,2980523,122.38,122.68,121.33
09/17/2019,122.58,2256638,121.63,122.615,121.31
09/16/2019,121.84,3401308,122.61,122.705,121.71
09/13/2019,123.42,2014872,123.98,124.15,123.32
09/12/2019,123.67,3343189,123.67,124.39,123.37
09/11/2019,123.08,3408853,122.82,123.33,122.28
09/10/2019,122.85,3650572,122.79,122.95,121.62
09/09/2019,123.34,3259252,123.29,123.66,122.88
09/06/2019,122.87,3493456,122.72,123.18,122.46
